id,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,sqft_living15,sqft_lot15,price,habitaciones
7129300520,3,1,1,0,0,3,7,1955,1340,5650,221900,4
6414100192,3,2,2,0,0,3,7,1991,1690,7639,538000,5
5631500400,2,1,1,0,0,3,6,1933,2720,8062,180000,3
2487200875,4,3,1,0,0,5,7,1965,1360,5000,604000,7
1954400510,3,2,1,0,0,3,8,1987,1800,7503,510000,5
7237550310,4,4,1,0,0,3,11,2001,4760,101930,1230000,8
1321400060,3,2,2,0,0,3,7,1995,2238,6819,257500,5
2008000270,3,2,1,0,0,3,7,1963,1650,9711,291850,5
2414600126,3,1,1,0,0,3,7,1960,1780,8113,229500,4
3793500160,3,2,2,0,0,3,7,2003,2390,7570,323000,5
1736800520,3,2,1,0,0,3,8,1965,2210,8925,662500,5
9212900260,2,1,1,0,0,4,7,1942,1330,6000,468000,3
114101516,3,1,2,0,0,4,7,1927,1780,12697,310000,4
6054650070,3,2,1,0,0,4,7,1977,1370,10208,400000,5
1175000570,5,2,2,0,0,3,7,1900,1360,4850,530000,7
9297300055,4,3,2,0,3,3,9,1979,2140,4000,650000,7
1875500060,3,2,2,0,0,3,7,1994,1890,14018,395000,5
6865200140,4,1,2,0,0,4,7,1916,1610,4300,485000,5
16000397,2,1,1,0,0,4,7,1921,1060,5095,189000,3
7983200060,3,1,1,0,0,4,7,1969,1280,8850,230000,4
6300500875,4,2,1,0,0,4,7,1947,1400,4980,385000,6
2524049179,3,3,1,0,4,3,9,1968,4110,20336,2000000,6
7137970340,5,2,2,0,0,3,8,1995,2240,7005,285000,7
8091400200,2,2,1,0,0,3,7,1985,1220,8386,252700,4
3814700200,3,2,2,0,0,4,8,1985,2200,6865,329000,5
1202000200,3,2,2,0,0,5,6,1941,1030,4705,233000,5
1794500383,3,2,2,0,0,3,8,1915,1760,3573,937000,5
3303700376,3,1,2,0,0,5,8,1909,1860,3861,667000,4
5101402488,3,2,1,0,0,3,7,1948,1520,6235,438000,5
1873100390,4,2,2,0,0,3,8,2005,2630,6026,719000,6
8562750320,3,2,2,0,0,3,8,2003,2580,3980,580500,5
2426039314,2,2,3,0,0,3,7,2005,1390,1756,280000,4
461000390,4,2,2,0,0,4,7,1929,1460,5000,687500,6
7589200193,3,1,2,0,0,4,8,1929,1570,5080,535000,4
7955080270,4,3,1,0,0,3,7,1981,2020,8720,322500,7
9547205180,3,2,2,0,0,3,8,2002,1590,3264,696000,5
9435300030,4,1,1,0,0,1,5,1933,2160,11467,550000,5
2768000400,4,2,2,0,0,4,8,1904,1730,4700,640000,6
7895500070,4,1,1,0,0,2,7,1969,1290,7800,240000,5
2078500320,4,2,2,0,0,3,8,1996,2620,11884,605000,6
5547700270,4,2,2,0,0,3,9,2000,2470,5669,625000,6
7766200013,4,2,1,0,0,3,8,1984,2410,30617,775000,6
7203220400,5,3,2,0,0,3,9,2014,3625,5639,861990,8
9270200160,3,1,2,0,0,3,7,1922,1580,2640,685000,4
1432701230,3,1,1,0,0,4,6,1959,1340,8808,309000,4
8035350320,3,2,2,0,0,3,8,2003,3050,9232,488000,5
8945200830,3,1,1,0,0,3,6,1966,1228,8840,210490,4
4178300310,4,2,2,0,0,4,9,1981,2680,13685,785000,6
9215400105,3,2,1,0,0,4,7,1953,970,5100,450000,5
822039084,3,2,1,1,2,5,9,1953,2680,72513,1350000,5
5245600105,3,1,1,0,0,3,7,1955,1190,9364,228000,4
7231300125,5,2,1,0,0,4,8,1966,1990,9133,345000,7
7518505990,3,2,1,0,0,4,7,1950,1410,4080,600000,5
3626039271,2,2,1,0,0,3,7,1981,1480,6738,585000,4
4217401195,5,2,2,0,0,3,8,1927,2730,6000,920000,7
9822700295,4,2,2,0,0,3,9,1995,1950,5000,885000,6
9478500640,4,2,2,0,0,3,7,2008,2250,4500,292500,6
2799800710,3,2,2,0,0,3,8,2003,2690,4750,301000,5
7922800400,5,3,2,0,4,4,8,1968,2960,11044,951000,8
8079040320,4,3,2,0,0,3,8,1991,2270,8542,430000,7
1516000055,3,2,1,0,3,4,8,1959,2570,18900,650000,5
9558200045,3,2,1,0,0,3,7,1954,1290,8750,289000,5
5072410070,3,2,2,0,0,5,8,1973,2500,9500,505000,5
9528102996,3,2,3,0,0,3,8,2014,1580,3090,549000,5
1189001180,3,2,1,0,0,3,7,1979,1440,4080,425000,5
3253500160,3,3,2,0,0,5,7,1925,1440,4000,317625,6
3394100030,4,2,2,0,0,3,10,1989,2750,11049,975000,6
3717000160,4,2,2,0,0,3,7,2005,2221,4557,287000,6
1274500060,3,1,1,0,0,4,7,1968,1010,12635,204000,4
1802000060,5,2,1,0,0,3,8,1965,3390,20158,1330000,7
1525059190,5,3,1,0,0,4,11,1973,3530,38917,1040000,8
1049000060,3,2,1,0,0,4,7,1972,1640,4745,325000,5
8820901275,4,2,2,0,0,5,7,1916,1510,7807,571000,6
5416510140,4,2,2,0,0,3,8,2005,2420,5000,360000,6
3444100400,3,2,1,0,0,5,7,1965,1940,50529,349000,5
3276920270,4,4,2,0,0,4,10,1986,3240,35020,832500,8
4036801170,4,2,1,0,0,3,7,1956,1680,7500,380000,6
2391600320,3,1,1,0,0,3,7,1941,890,5060,480000,4
6300000287,3,1,1,0,0,4,7,1956,1130,5693,410000,4
1531000030,4,2,2,0,0,3,10,2002,3350,39750,720000,6
5104520400,3,2,2,0,0,3,8,2003,2350,5363,390000,5
7437100340,4,2,2,0,0,3,7,1992,1870,6405,360000,6
9418400240,2,1,1,0,0,3,7,1948,1720,6720,355000,3
1523059105,3,2,1,0,0,3,8,1964,1850,8797,356000,5
1133000671,3,1,1,0,0,3,6,1952,1570,7203,315000,4
4232902595,3,2,2,0,0,3,9,1925,2020,4800,940000,5
2599001200,5,2,2,0,0,5,7,1961,1590,8165,305000,7
3342103156,3,3,2,0,0,3,9,2006,1900,7349,461000,6
1332700270,2,2,2,0,0,4,7,1979,1950,2025,215000,4
3869900162,2,2,2,0,0,3,7,2006,1030,1106,335000,4
2791500270,4,2,2,0,0,3,7,1988,1980,7510,243500,6
5036300431,5,3,2,0,0,4,10,2001,2520,6250,1100000,8
4168000060,3,1,1,0,0,3,7,1962,1350,10500,153000,4
6021501535,3,2,1,0,0,3,8,1939,1570,4500,430000,5
6021501535,3,2,1,0,0,3,8,1939,1570,4500,700000,5
1483300570,4,2,1,0,0,3,7,1991,1950,6045,905000,6
3422049190,3,2,1,0,0,3,7,1967,1750,15616,247500,5
1099611230,4,2,1,0,0,4,7,1975,1160,6400,199000,6
722079104,3,2,1,0,0,5,7,1980,1650,135036,314000,5
7338200240,3,2,2,0,2,3,9,1992,2550,35065,437500,5
1952200240,3,2,2,0,0,5,9,1910,2200,4500,850830,5
5200100125,3,2,2,0,0,4,7,1929,1610,3478,555000,5
7214720075,3,2,2,0,0,4,8,1983,2570,47777,699950,5
2450000295,3,2,2,0,0,3,8,2010,2370,8113,1090000,5
6197800045,3,1,1,0,0,3,7,1954,1640,14910,290000,4
1328310370,3,2,1,0,0,4,8,1978,2250,8162,375000,5
546000875,3,1,2,0,0,4,7,1939,1240,4005,460000,4
3530510041,2,2,1,0,0,4,8,1985,1270,4966,188500,4
1853000400,4,2,2,0,0,4,10,1991,2990,35001,680000,6
3134100116,5,2,2,0,0,4,7,1942,2500,9433,470000,7
9545230140,4,2,2,0,0,3,8,1984,1940,9636,597750,6
3362400511,3,2,1,0,0,5,6,1905,1380,3536,570000,5
2525310310,3,2,1,0,0,4,7,1980,1540,11656,272500,5
6126500060,3,2,1,0,2,3,7,1971,2090,5500,329950,5
8961960160,4,2,2,0,3,3,9,2001,2640,8517,480000,6
3626039325,3,4,2,0,0,3,8,1999,1830,6350,740500,7
3362400431,3,4,3,0,0,3,8,2010,1620,3166,518500,7
4060000240,2,1,1,0,0,4,6,1945,1190,6780,205425,3
3454800060,4,2,1,0,0,3,6,1950,1880,9000,171800,6
1695900060,4,1,2,0,0,4,7,1925,1610,4040,535000,5
7278700070,3,2,1,0,2,3,8,1964,2340,10856,660000,5
6675500070,3,2,1,0,0,3,7,1987,1580,9104,391500,5
3626039187,2,1,1,0,0,3,6,1953,1710,6000,395000,3
3524049083,4,2,2,0,0,5,7,1924,1850,4400,445000,6
3275860240,3,2,2,0,0,3,9,1990,2700,13992,770000,5
4389200955,4,3,2,0,0,3,8,1992,3060,11275,1450000,7
4058801670,3,2,1,0,2,3,8,1967,2660,8712,445000,5
8732020310,4,2,1,0,0,3,8,1978,2090,8400,260000,6
2331300505,5,4,2,0,0,5,7,1926,1700,4960,822500,9
7853210060,4,2,2,0,0,3,7,2004,1970,3748,430000,6
3668000070,3,2,1,0,0,4,7,1986,1420,7680,212000,5
9545240070,4,2,1,0,0,3,8,1986,2060,9793,660500,6
1243100136,3,4,2,0,0,3,9,1989,2480,88500,784000,7
8929000270,3,2,2,0,0,3,8,2014,1690,1662,453246,5
2767602356,4,4,3,0,0,3,9,2005,1540,2285,675000,8
921049315,3,2,1,0,0,4,7,1956,1550,19265,199000,5
3655000070,4,2,1,0,0,3,7,1968,1750,8140,220000,6
4027700812,4,2,1,0,0,4,8,1968,1550,10436,452000,6
3992700335,2,1,1,0,0,3,6,1981,1060,5715,382500,3
2767603505,3,2,3,0,0,3,8,2014,1350,1310,519950,5
4232901525,2,1,1,0,0,3,7,1925,1170,3600,665000,3
1777500060,5,2,1,0,0,4,8,1968,2820,9375,527700,7
1432900240,3,1,1,0,0,4,7,1962,1610,8579,205000,4
6140100875,3,1,1,0,0,4,7,1923,1560,7940,420000,4
6071600370,4,2,1,0,0,4,8,1961,2230,8824,500000,6
1526069017,4,2,2,0,0,4,9,1994,2840,87991,921500,6
809001525,4,1,2,0,0,3,8,1905,2200,4000,890000,5
3224079105,2,2,2,0,0,3,7,2007,1940,193842,430000,4
8075400570,5,2,1,0,0,4,8,1960,1360,18000,258000,7
1994200024,3,1,1,0,0,3,7,1947,1450,4599,511000,4
3362900810,3,2,2,0,0,3,8,1990,1500,3090,532170,5
1324300398,3,1,2,0,0,3,7,1947,1420,5000,560000,4
537000445,3,1,1,0,0,4,7,1954,1680,8633,282950,4
7855801670,4,3,2,0,3,3,12,2006,3160,9750,2250000,7
7920100045,1,1,1,0,0,3,7,1942,1010,5100,350000,2
8960000030,3,1,1,0,0,4,7,1967,1190,7669,215000,4
6388930390,5,4,2,0,0,3,9,1996,2640,13675,650000,9
8731900200,4,3,1,0,0,3,8,1967,1980,7875,320000,7
8029200135,3,2,2,0,0,3,7,2013,1160,7198,247000,5
1081200350,4,2,1,0,0,4,8,1968,1730,11180,320000,6
84000105,5,2,1,0,0,3,7,1962,1010,11680,255000,7
3756500060,3,2,1,0,0,3,7,1962,1200,9660,438000,5
7215720160,3,2,2,0,0,3,10,2000,3400,12601,900000,5
3574800520,3,3,1,0,0,3,7,1979,1710,8152,441000,6
2617300160,3,2,1,0,0,4,7,1975,2110,36590,420000,5
2558660270,3,2,1,0,0,3,7,1976,1640,7500,370000,5
2009000370,2,2,1,0,0,5,5,1949,1830,9750,269950,4
1836980160,4,2,2,0,0,3,9,1999,2920,4500,807100,6
3261020370,3,2,1,0,0,4,8,1979,2480,8750,653000,5
1755700060,3,2,1,0,0,5,7,1964,1770,7288,371500,5
4330600435,3,2,1,0,0,3,7,1954,1070,7920,284000,5
9542800700,3,2,1,0,0,4,7,1978,1930,7350,272000,5
1999700045,3,2,2,0,0,3,7,1955,1480,7940,313000,5
