,id,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,sqft_living15,sqft_lot15,price
0,7129300520,3,1,1,0,0,3,7,1955,1340,5650,221900
1,6414100192,3,"2,25",2,0,0,3,7,1991,1690,7639,538000
2,5631500400,2,1,1,0,0,3,6,1933,2720,8062,180000
3,2487200875,4,3,1,0,0,5,7,1965,1360,5000,604000
4,1954400510,3,2,1,0,0,3,8,1987,1800,7503,510000
5,7237550310,4,"4,5",1,0,0,3,11,2001,4760,101930,1230000
6,1321400060,3,"2,25",2,0,0,3,7,1995,2238,6819,257500
7,2008000270,3,"1,5",1,0,0,3,7,1963,1650,9711,291850
8,2414600126,3,1,1,0,0,3,7,1960,1780,8113,229500
9,3793500160,3,"2,5",2,0,0,3,7,2003,2390,7570,323000
10,1736800520,3,"2,5",1,0,0,3,8,1965,2210,8925,662500
11,9212900260,2,1,1,0,0,4,7,1942,1330,6000,468000
12,114101516,3,1,"1,5",0,0,4,7,1927,1780,12697,310000
13,6054650070,3,"1,75",1,0,0,4,7,1977,1370,10208,400000
14,1175000570,5,2,"1,5",0,0,3,7,1900,1360,4850,530000
15,9297300055,4,3,2,0,3,3,9,1979,2140,4000,650000
16,1875500060,3,2,2,0,0,3,7,1994,1890,14018,395000
17,6865200140,4,1,"1,5",0,0,4,7,1916,1610,4300,485000
18,16000397,2,1,1,0,0,4,7,1921,1060,5095,189000
19,7983200060,3,1,1,0,0,4,7,1969,1280,8850,230000
20,6300500875,4,"1,75",1,0,0,4,7,1947,1400,4980,385000
21,2524049179,3,"2,75",1,0,4,3,9,1968,4110,20336,2000000
22,7137970340,5,"2,5",2,0,0,3,8,1995,2240,7005,285000
23,8091400200,2,"1,5",1,0,0,3,7,1985,1220,8386,252700
24,3814700200,3,"2,25",2,0,0,4,8,1985,2200,6865,329000
25,1202000200,3,2,"1,5",0,0,5,6,1941,1030,4705,233000
26,1794500383,3,"1,75",2,0,0,3,8,1915,1760,3573,937000
27,3303700376,3,1,"1,5",0,0,5,8,1909,1860,3861,667000
28,5101402488,3,"1,75",1,0,0,3,7,1948,1520,6235,438000
29,1873100390,4,"2,5",2,0,0,3,8,2005,2630,6026,719000
30,8562750320,3,"2,5",2,0,0,3,8,2003,2580,3980,580500
31,2426039314,2,"1,5",3,0,0,3,7,2005,1390,1756,280000
32,461000390,4,"1,75","1,5",0,0,4,7,1929,1460,5000,687500
33,7589200193,3,1,"1,5",0,0,4,8,1929,1570,5080,535000
34,7955080270,4,"2,75",1,0,0,3,7,1981,2020,8720,322500
35,9547205180,3,"2,5","1,5",0,0,3,8,2002,1590,3264,696000
36,9435300030,4,1,1,0,0,1,5,1933,2160,11467,550000
37,2768000400,4,2,2,0,0,4,8,1904,1730,4700,640000
38,7895500070,4,1,1,0,0,2,7,1969,1290,7800,240000
39,2078500320,4,"2,5",2,0,0,3,8,1996,2620,11884,605000
40,5547700270,4,"2,5",2,0,0,3,9,2000,2470,5669,625000
41,7766200013,4,"2,25",1,0,0,3,8,1984,2410,30617,775000
42,7203220400,5,"2,75",2,0,0,3,9,2014,3625,5639,861990
43,9270200160,3,1,2,0,0,3,7,1922,1580,2640,685000
44,1432701230,3,1,1,0,0,4,6,1959,1340,8808,309000
45,8035350320,3,"2,5",2,0,0,3,8,2003,3050,9232,488000
46,8945200830,3,1,1,0,0,3,6,1966,1228,8840,210490
47,4178300310,4,"2,5",2,0,0,4,9,1981,2680,13685,785000
48,9215400105,3,"1,75",1,0,0,4,7,1953,970,5100,450000
49,822039084,3,"2,5",1,1,2,5,9,1953,2680,72513,1350000
50,5245600105,3,1,1,0,0,3,7,1955,1190,9364,228000
51,7231300125,5,"2,5",1,0,0,4,8,1966,1990,9133,345000
52,7518505990,3,"1,75",1,0,0,4,7,1950,1410,4080,600000
53,3626039271,2,"1,75",1,0,0,3,7,1981,1480,6738,585000
54,4217401195,5,"2,25","1,5",0,0,3,8,1927,2730,6000,920000
55,9822700295,4,"2,5",2,0,0,3,9,1995,1950,5000,885000
56,9478500640,4,"2,5",2,0,0,3,7,2008,2250,4500,292500
57,2799800710,3,"2,5",2,0,0,3,8,2003,2690,4750,301000
58,7922800400,5,"3,25",2,0,4,4,8,1968,2960,11044,951000
59,8079040320,4,3,2,0,0,3,8,1991,2270,8542,430000
60,1516000055,3,"2,25",1,0,3,4,8,1959,2570,18900,650000
61,9558200045,3,"1,75",1,0,0,3,7,1954,1290,8750,289000
62,5072410070,3,"1,75",2,0,0,5,8,1973,2500,9500,505000
63,9528102996,3,"1,75",3,0,0,3,8,2014,1580,3090,549000
64,1189001180,3,"2,25",1,0,0,3,7,1979,1440,4080,425000
65,3253500160,3,"2,75","1,5",0,0,5,7,1925,1440,4000,317625
66,3394100030,4,"2,5",2,0,0,3,10,1989,2750,11049,975000
67,3717000160,4,"2,5",2,0,0,3,7,2005,2221,4557,287000
68,1274500060,3,1,1,0,0,4,7,1968,1010,12635,204000
69,1802000060,5,"2,25",1,0,0,3,8,1965,3390,20158,1330000
70,1525059190,5,"3,25",1,0,0,4,11,1973,3530,38917,1040000
71,1049000060,3,2,1,0,0,4,7,1972,1640,4745,325000
72,8820901275,4,2,"1,5",0,0,5,7,1916,1510,7807,571000
73,5416510140,4,"2,5",2,0,0,3,8,2005,2420,5000,360000
74,3444100400,3,"1,75",1,0,0,5,7,1965,1940,50529,349000
75,3276920270,4,4,2,0,0,4,10,1986,3240,35020,832500
76,4036801170,4,"1,75",1,0,0,3,7,1956,1680,7500,380000
77,2391600320,3,1,1,0,0,3,7,1941,890,5060,480000
78,6300000287,3,1,1,0,0,4,7,1956,1130,5693,410000
79,1531000030,4,"2,5",2,0,0,3,10,2002,3350,39750,720000
80,5104520400,3,"2,5",2,0,0,3,8,2003,2350,5363,390000
81,7437100340,4,"2,5",2,0,0,3,7,1992,1870,6405,360000
82,9418400240,2,1,1,0,0,3,7,1948,1720,6720,355000
83,1523059105,3,"1,5",1,0,0,3,8,1964,1850,8797,356000
84,1133000671,3,1,1,0,0,3,6,1952,1570,7203,315000
85,4232902595,3,"1,5",2,0,0,3,9,1925,2020,4800,940000
86,2599001200,5,"2,25","1,5",0,0,5,7,1961,1590,8165,305000
87,3342103156,3,"3,25",2,0,0,3,9,2006,1900,7349,461000
88,1332700270,2,"2,25",2,0,0,4,7,1979,1950,2025,215000
89,3869900162,2,"1,75",2,0,0,3,7,2006,1030,1106,335000
90,2791500270,4,"2,5",2,0,0,3,7,1988,1980,7510,243500
91,5036300431,5,"2,75",2,0,0,4,10,2001,2520,6250,1100000
92,4168000060,3,1,1,0,0,3,7,1962,1350,10500,153000
93,6021501535,3,"1,5",1,0,0,3,8,1939,1570,4500,430000
94,6021501535,3,"1,5",1,0,0,3,8,1939,1570,4500,700000
95,1483300570,4,"2,5",1,0,0,3,7,1991,1950,6045,905000
96,3422049190,3,"1,75",1,0,0,3,7,1967,1750,15616,247500
97,1099611230,4,"1,5",1,0,0,4,7,1975,1160,6400,199000
98,722079104,3,"1,75",1,0,0,5,7,1980,1650,135036,314000
99,7338200240,3,"2,5",2,0,2,3,9,1992,2550,35065,437500
100,1952200240,3,"2,5","1,5",0,0,5,9,1910,2200,4500,850830
101,5200100125,3,2,"1,5",0,0,4,7,1929,1610,3478,555000
102,7214720075,3,"2,25",2,0,0,4,8,1983,2570,47777,699950
103,2450000295,3,"2,5",2,0,0,3,8,2010,2370,8113,1090000
104,6197800045,3,1,1,0,0,3,7,1954,1640,14910,290000
105,1328310370,3,"2,5",1,0,0,4,8,1978,2250,8162,375000
106,546000875,3,1,"1,5",0,0,4,7,1939,1240,4005,460000
107,3530510041,2,"1,75",1,0,0,4,8,1985,1270,4966,188500
108,1853000400,4,"2,5",2,0,0,4,10,1991,2990,35001,680000
109,3134100116,5,"1,75",2,0,0,4,7,1942,2500,9433,470000
110,9545230140,4,"2,5",2,0,0,3,8,1984,1940,9636,597750
111,3362400511,3,"1,75",1,0,0,5,6,1905,1380,3536,570000
112,2525310310,3,"1,75",1,0,0,4,7,1980,1540,11656,272500
113,6126500060,3,"1,75",1,0,2,3,7,1971,2090,5500,329950
114,8961960160,4,"2,5",2,0,3,3,9,2001,2640,8517,480000
115,3626039325,3,"3,5",2,0,0,3,8,1999,1830,6350,740500
116,3362400431,3,"3,5",3,0,0,3,8,2010,1620,3166,518500
117,4060000240,2,1,1,0,0,4,6,1945,1190,6780,205425
118,3454800060,4,2,1,0,0,3,6,1950,1880,9000,171800
119,1695900060,4,1,"1,5",0,0,4,7,1925,1610,4040,535000
120,7278700070,3,"2,5",1,0,2,3,8,1964,2340,10856,660000
121,6675500070,3,2,1,0,0,3,7,1987,1580,9104,391500
122,3626039187,2,1,1,0,0,3,6,1953,1710,6000,395000
123,3524049083,4,"1,75","1,5",0,0,5,7,1924,1850,4400,445000
124,3275860240,3,"2,25",2,0,0,3,9,1990,2700,13992,770000
125,4389200955,4,"2,75","1,5",0,0,3,8,1992,3060,11275,1450000
126,4058801670,3,"2,25",1,0,2,3,8,1967,2660,8712,445000
127,8732020310,4,"2,25",1,0,0,3,8,1978,2090,8400,260000
128,2331300505,5,"3,5",2,0,0,5,7,1926,1700,4960,822500
129,7853210060,4,"2,5",2,0,0,3,7,2004,1970,3748,430000
130,3668000070,3,"1,75",1,0,0,4,7,1986,1420,7680,212000
131,9545240070,4,"2,25",1,0,0,3,8,1986,2060,9793,660500
